,product,price,quantity,date,region
0,pink morsel,$3.00,546,2018-02-06,north
1,pink morsel,$3.00,549,2018-02-06,south
2,pink morsel,$3.00,577,2018-02-06,east
3,pink morsel,$3.00,519,2018-02-06,west
28,pink morsel,$3.00,529,2018-02-07,north
29,pink morsel,$3.00,566,2018-02-07,south
30,pink morsel,$3.00,514,2018-02-07,east
31,pink morsel,$3.00,545,2018-02-07,west
56,pink morsel,$3.00,534,2018-02-08,north
57,pink morsel,$3.00,512,2018-02-08,south
58,pink morsel,$3.00,501,2018-02-08,east
59,pink morsel,$3.00,567,2018-02-08,west
84,pink morsel,$3.00,586,2018-02-09,north
85,pink morsel,$3.00,554,2018-02-09,south
86,pink morsel,$3.00,594,2018-02-09,east
87,pink morsel,$3.00,505,2018-02-09,west
112,pink morsel,$3.00,554,2018-02-10,north
113,pink morsel,$3.00,519,2018-02-10,south
114,pink morsel,$3.00,550,2018-02-10,east
115,pink morsel,$3.00,558,2018-02-10,west
140,pink morsel,$3.00,518,2018-02-11,north
141,pink morsel,$3.00,529,2018-02-11,south
142,pink morsel,$3.00,521,2018-02-11,east
143,pink morsel,$3.00,588,2018-02-11,west
168,pink morsel,$3.00,586,2018-02-12,north
169,pink morsel,$3.00,536,2018-02-12,south
170,pink morsel,$3.00,523,2018-02-12,east
171,pink morsel,$3.00,551,2018-02-12,west
196,pink morsel,$3.00,524,2018-02-13,north
197,pink morsel,$3.00,572,2018-02-13,south
198,pink morsel,$3.00,591,2018-02-13,east
199,pink morsel,$3.00,575,2018-02-13,west
224,pink morsel,$3.00,589,2018-02-14,north
225,pink morsel,$3.00,570,2018-02-14,south
226,pink morsel,$3.00,566,2018-02-14,east
227,pink morsel,$3.00,504,2018-02-14,west
252,pink morsel,$3.00,582,2018-02-15,north
253,pink morsel,$3.00,578,2018-02-15,south
254,pink morsel,$3.00,508,2018-02-15,east
255,pink morsel,$3.00,538,2018-02-15,west
280,pink morsel,$3.00,526,2018-02-16,north
281,pink morsel,$3.00,594,2018-02-16,south
282,pink morsel,$3.00,509,2018-02-16,east
283,pink morsel,$3.00,584,2018-02-16,west
308,pink morsel,$3.00,595,2018-02-17,north
309,pink morsel,$3.00,563,2018-02-17,south
310,pink morsel,$3.00,547,2018-02-17,east
311,pink morsel,$3.00,525,2018-02-17,west
336,pink morsel,$3.00,548,2018-02-18,north
337,pink morsel,$3.00,558,2018-02-18,south
338,pink morsel,$3.00,517,2018-02-18,east
339,pink morsel,$3.00,579,2018-02-18,west
364,pink morsel,$3.00,521,2018-02-19,north
365,pink morsel,$3.00,549,2018-02-19,south
366,pink morsel,$3.00,535,2018-02-19,east
367,pink morsel,$3.00,513,2018-02-19,west
392,pink morsel,$3.00,566,2018-02-20,north
393,pink morsel,$3.00,525,2018-02-20,south
394,pink morsel,$3.00,500,2018-02-20,east
395,pink morsel,$3.00,517,2018-02-20,west
420,pink morsel,$3.00,579,2018-02-21,north
421,pink morsel,$3.00,514,2018-02-21,south
422,pink morsel,$3.00,555,2018-02-21,east
423,pink morsel,$3.00,516,2018-02-21,west
448,pink morsel,$3.00,545,2018-02-22,north
449,pink morsel,$3.00,544,2018-02-22,south
450,pink morsel,$3.00,556,2018-02-22,east
451,pink morsel,$3.00,588,2018-02-22,west
476,pink morsel,$3.00,511,2018-02-23,north
477,pink morsel,$3.00,521,2018-02-23,south
478,pink morsel,$3.00,547,2018-02-23,east
479,pink morsel,$3.00,591,2018-02-23,west
504,pink morsel,$3.00,543,2018-02-24,north
505,pink morsel,$3.00,566,2018-02-24,south
506,pink morsel,$3.00,575,2018-02-24,east
507,pink morsel,$3.00,574,2018-02-24,west
532,pink morsel,$3.00,532,2018-02-25,north
533,pink morsel,$3.00,570,2018-02-25,south
534,pink morsel,$3.00,545,2018-02-25,east
535,pink morsel,$3.00,553,2018-02-25,west
560,pink morsel,$3.00,562,2018-02-26,north
561,pink morsel,$3.00,511,2018-02-26,south
562,pink morsel,$3.00,508,2018-02-26,east
563,pink morsel,$3.00,510,2018-02-26,west
588,pink morsel,$3.00,555,2018-02-27,north
589,pink morsel,$3.00,565,2018-02-27,south
590,pink morsel,$3.00,526,2018-02-27,east
591,pink morsel,$3.00,540,2018-02-27,west
616,pink morsel,$3.00,589,2018-02-28,north
617,pink morsel,$3.00,531,2018-02-28,south
618,pink morsel,$3.00,581,2018-02-28,east
619,pink morsel,$3.00,519,2018-02-28,west
